year,date,statefips,countyfips,averagepm2.5,County
2016,14APR2016,36,89,6.78298571428571,St. Lawrence County
2016,15APR2016,36,89,6.27302857142857,St. Lawrence County
2016,16APR2016,36,89,7.72898214285714,St. Lawrence County
2016,17APR2016,36,89,8.37598214285714,St. Lawrence County
2016,18APR2016,36,89,5.90686785714285,St. Lawrence County
2016,19APR2016,36,89,3.97926071428571,St. Lawrence County
2016,20APR2016,36,89,3.55521785714285,St. Lawrence County
2016,21APR2016,36,89,6.37668571428571,St. Lawrence County
2016,22APR2016,36,89,6.996275,St. Lawrence County
2016,23APR2016,36,89,3.68930714285714,St. Lawrence County
2016,24APR2016,36,89,4.17019642857142,St. Lawrence County
2016,25APR2016,36,89,4.56290357142857,St. Lawrence County
2016,26APR2016,36,89,5.67053571428571,St. Lawrence County
2016,27APR2016,36,89,3.69886071428571,St. Lawrence County
2016,28APR2016,36,89,3.64593928571428,St. Lawrence County
2016,29APR2016,36,89,5.14688928571428,St. Lawrence County
2016,30APR2016,36,89,4.87559285714285,St. Lawrence County
2016,01MAY2016,36,89,3.60885,St. Lawrence County
2016,02MAY2016,36,89,3.81293928571428,St. Lawrence County
2016,03MAY2016,36,89,5.42736428571428,St. Lawrence County
2016,04MAY2016,36,89,4.60323928571428,St. Lawrence County
2016,05MAY2016,36,89,4.88121785714285,St. Lawrence County
2016,06MAY2016,36,89,5.39958571428571,St. Lawrence County
2016,07MAY2016,36,89,3.10432857142857,St. Lawrence County
2016,08MAY2016,36,89,2.6676,St. Lawrence County
2016,09MAY2016,36,89,3.096875,St. Lawrence County
2016,10MAY2016,36,89,4.84533928571428,St. Lawrence County
2016,11MAY2016,36,89,5.52928928571428,St. Lawrence County
2016,12MAY2016,36,89,5.91806785714285,St. Lawrence County
2016,13MAY2016,36,89,6.06132142857143,St. Lawrence County
2016,14MAY2016,36,89,4.22325,St. Lawrence County
2016,15MAY2016,36,89,1.33669285714285,St. Lawrence County
2016,16MAY2016,36,89,3.69800357142857,St. Lawrence County
2016,17MAY2016,36,89,4.77765,St. Lawrence County
2016,18MAY2016,36,89,3.43695714285714,St. Lawrence County
2016,19MAY2016,36,89,5.42265714285714,St. Lawrence County
2016,20MAY2016,36,89,6.46024642857143,St. Lawrence County
2016,21MAY2016,36,89,8.28824642857142,St. Lawrence County
2016,22MAY2016,36,89,10.8191178571428,St. Lawrence County
2016,23MAY2016,36,89,10.3118571428571,St. Lawrence County
2016,24MAY2016,36,89,11.1515428571428,St. Lawrence County
2016,25MAY2016,36,89,12.6450535714285,St. Lawrence County
2016,26MAY2016,36,89,8.06840357142857,St. Lawrence County
2016,27MAY2016,36,89,13.5727214285714,St. Lawrence County
2016,28MAY2016,36,89,13.3865178571428,St. Lawrence County
2016,29MAY2016,36,89,12.4369142857142,St. Lawrence County
2016,30MAY2016,36,89,6.567475,St. Lawrence County
2016,31MAY2016,36,89,3.44239642857142,St. Lawrence County
2016,01JUN2016,36,89,3.27990357142857,St. Lawrence County
2016,02JUN2016,36,89,6.45221071428571,St. Lawrence County
2016,03JUN2016,36,89,6.75916785714285,St. Lawrence County
2016,04JUN2016,36,89,6.22068571428571,St. Lawrence County
2016,05JUN2016,36,89,4.60159285714285,St. Lawrence County
2016,06JUN2016,36,89,4.07344642857142,St. Lawrence County
2016,07JUN2016,36,89,3.92991785714285,St. Lawrence County
2016,08JUN2016,36,89,1.538025,St. Lawrence County
2016,09JUN2016,36,89,2.16545357142857,St. Lawrence County
2016,10JUN2016,36,89,3.31491785714285,St. Lawrence County
2016,11JUN2016,36,89,6.54921785714285,St. Lawrence County
2016,12JUN2016,36,89,2.31125714285714,St. Lawrence County
2016,13JUN2016,36,89,2.53341071428571,St. Lawrence County
2016,14JUN2016,36,89,3.46865,St. Lawrence County
2016,15JUN2016,36,89,5.221825,St. Lawrence County
2016,16JUN2016,36,89,6.69851785714285,St. Lawrence County
2016,17JUN2016,36,89,6.390075,St. Lawrence County
2016,18JUN2016,36,89,6.56712142857143,St. Lawrence County
2016,19JUN2016,36,89,8.82081071428571,St. Lawrence County
2016,20JUN2016,36,89,11.467025,St. Lawrence County
2016,21JUN2016,36,89,4.96523571428571,St. Lawrence County
2016,22JUN2016,36,89,4.52798214285714,St. Lawrence County
2016,23JUN2016,36,89,4.38508928571428,St. Lawrence County
2016,24JUN2016,36,89,6.70644285714285,St. Lawrence County
2016,25JUN2016,36,89,9.08065357142857,St. Lawrence County
2016,26JUN2016,36,89,11.5319571428571,St. Lawrence County
2016,27JUN2016,36,89,9.87835357142857,St. Lawrence County
2016,28JUN2016,36,89,8.20359642857143,St. Lawrence County
2016,29JUN2016,36,89,4.83516785714285,St. Lawrence County
2016,30JUN2016,36,89,6.57746071428571,St. Lawrence County
2016,01JUL2016,36,89,8.00516785714285,St. Lawrence County
2016,02JUL2016,36,89,3.32687142857142,St. Lawrence County
2016,03JUL2016,36,89,6.79683571428571,St. Lawrence County
2016,04JUL2016,36,89,10.8755214285714,St. Lawrence County
2016,05JUL2016,36,89,9.87361785714285,St. Lawrence County
2016,06JUL2016,36,89,9.62990357142857,St. Lawrence County
2016,07JUL2016,36,89,10.0906464285714,St. Lawrence County
2016,08JUL2016,36,89,7.14334642857143,St. Lawrence County
2016,09JUL2016,36,89,3.61027857142857,St. Lawrence County
2016,10JUL2016,36,89,2.28143214285714,St. Lawrence County
2016,11JUL2016,36,89,4.23296785714285,St. Lawrence County
2016,12JUL2016,36,89,7.13997142857142,St. Lawrence County
2016,13JUL2016,36,89,13.6661321428571,St. Lawrence County
2016,14JUL2016,36,89,9.44790714285714,St. Lawrence County
2016,15JUL2016,36,89,5.73087857142857,St. Lawrence County
2016,16JUL2016,36,89,3.513225,St. Lawrence County
2016,17JUL2016,36,89,5.06555357142857,St. Lawrence County
2016,18JUL2016,36,89,7.5732,St. Lawrence County
2016,19JUL2016,36,89,3.71904285714285,St. Lawrence County
2016,20JUL2016,36,89,5.20925714285714,St. Lawrence County
2016,21JUL2016,36,89,8.34963571428571,St. Lawrence County
2016,22JUL2016,36,89,9.52023928571428,St. Lawrence County
2016,23JUL2016,36,89,6.27132142857143,St. Lawrence County
2016,24JUL2016,36,89,7.15878214285714,St. Lawrence County
2016,25JUL2016,36,89,7.90305,St. Lawrence County
2016,26JUL2016,36,89,5.025575,St. Lawrence County
2016,27JUL2016,36,89,7.28328214285714,St. Lawrence County
2016,28JUL2016,36,89,9.16658571428571,St. Lawrence County
2016,29JUL2016,36,89,6.23795357142857,St. Lawrence County
2016,30JUL2016,36,89,5.24365,St. Lawrence County
2016,31JUL2016,36,89,5.34655357142857,St. Lawrence County
2016,01AUG2016,36,89,5.23699285714285,St. Lawrence County
2016,02AUG2016,36,89,4.36199642857142,St. Lawrence County
2016,03AUG2016,36,89,6.21845,St. Lawrence County
2016,04AUG2016,36,89,7.85393571428571,St. Lawrence County
2016,05AUG2016,36,89,9.13561071428571,St. Lawrence County
2016,06AUG2016,36,89,6.30160357142857,St. Lawrence County
2016,07AUG2016,36,89,4.51925,St. Lawrence County
2016,08AUG2016,36,89,5.67023928571428,St. Lawrence County
2016,09AUG2016,36,89,6.82058571428571,St. Lawrence County
2016,10AUG2016,36,89,9.05401428571428,St. Lawrence County
2016,11AUG2016,36,89,10.6296392857142,St. Lawrence County
2016,12AUG2016,36,89,7.95755714285714,St. Lawrence County
2016,13AUG2016,36,89,5.33324642857142,St. Lawrence County
2016,14AUG2016,36,89,3.23413571428571,St. Lawrence County
2016,15AUG2016,36,89,4.61643571428571,St. Lawrence County
2016,16AUG2016,36,89,4.4015,St. Lawrence County
2016,17AUG2016,36,89,2.45280714285714,St. Lawrence County
2016,18AUG2016,36,89,5.64110357142857,St. Lawrence County
2016,19AUG2016,36,89,7.08586428571428,St. Lawrence County
2016,20AUG2016,36,89,7.27364285714285,St. Lawrence County
2016,21AUG2016,36,89,5.50494642857142,St. Lawrence County
2016,22AUG2016,36,89,2.95849285714285,St. Lawrence County
2016,23AUG2016,36,89,5.67034642857142,St. Lawrence County
2016,24AUG2016,36,89,7.22912142857143,St. Lawrence County
2016,25AUG2016,36,89,8.67396428571428,St. Lawrence County
2016,26AUG2016,36,89,7.36629285714285,St. Lawrence County
2016,27AUG2016,36,89,7.61194285714285,St. Lawrence County
2016,28AUG2016,36,89,10.1423607142857,St. Lawrence County
2016,29AUG2016,36,89,4.639225,St. Lawrence County
2016,30AUG2016,36,89,5.20096428571428,St. Lawrence County
2016,31AUG2016,36,89,6.7729,St. Lawrence County
2016,01SEP2016,36,89,4.12130714285714,St. Lawrence County
2016,02SEP2016,36,89,4.67800357142857,St. Lawrence County
2016,03SEP2016,36,89,5.00344642857142,St. Lawrence County
2016,04SEP2016,36,89,6.59995,St. Lawrence County
2016,05SEP2016,36,89,6.64748571428571,St. Lawrence County
2016,06SEP2016,36,89,7.91514642857142,St. Lawrence County
2016,07SEP2016,36,89,5.26691428571428,St. Lawrence County
2016,08SEP2016,36,89,7.58081428571428,St. Lawrence County
2016,09SEP2016,36,89,6.67095,St. Lawrence County
2016,10SEP2016,36,89,6.03783214285714,St. Lawrence County
2016,11SEP2016,36,89,2.77786428571428,St. Lawrence County
2016,12SEP2016,36,89,3.76291428571428,St. Lawrence County
2016,13SEP2016,36,89,5.97241071428571,St. Lawrence County
2016,14SEP2016,36,89,4.702575,St. Lawrence County
2016,15SEP2016,36,89,3.7381,St. Lawrence County
2016,16SEP2016,36,89,4.930325,St. Lawrence County
2016,17SEP2016,36,89,6.56260714285714,St. Lawrence County
2016,18SEP2016,36,89,4.83853214285714,St. Lawrence County
2016,19SEP2016,36,89,6.95583928571428,St. Lawrence County
2016,20SEP2016,36,89,10.0295642857142,St. Lawrence County
2016,21SEP2016,36,89,4.92168571428571,St. Lawrence County
2016,22SEP2016,36,89,6.34481785714285,St. Lawrence County
2016,23SEP2016,36,89,3.77468214285714,St. Lawrence County
2016,24SEP2016,36,89,4.27141071428571,St. Lawrence County
2016,25SEP2016,36,89,4.65323928571428,St. Lawrence County
2016,26SEP2016,36,89,4.15959642857142,St. Lawrence County
2016,27SEP2016,36,89,4.43621071428571,St. Lawrence County
2016,28SEP2016,36,89,5.34440357142857,St. Lawrence County
2016,29SEP2016,36,89,5.04805,St. Lawrence County
2016,30SEP2016,36,89,4.78597142857142,St. Lawrence County
2016,01OCT2016,36,89,3.56413928571428,St. Lawrence County
2016,02OCT2016,36,89,3.91802142857142,St. Lawrence County
2016,03OCT2016,36,89,6.54755714285714,St. Lawrence County
2016,04OCT2016,36,89,8.56875,St. Lawrence County
2016,05OCT2016,36,89,6.18946428571428,St. Lawrence County
2016,06OCT2016,36,89,5.36606785714285,St. Lawrence County
2016,07OCT2016,36,89,5.50852142857142,St. Lawrence County
2016,08OCT2016,36,89,4.50234642857142,St. Lawrence County
2016,09OCT2016,36,89,2.63854642857142,St. Lawrence County
2016,10OCT2016,36,89,3.73755,St. Lawrence County
2016,11OCT2016,36,89,4.47036428571428,St. Lawrence County
2016,12OCT2016,36,89,5.900125,St. Lawrence County
2016,13OCT2016,36,89,4.87821785714285,St. Lawrence County
2016,14OCT2016,36,89,4.17601428571428,St. Lawrence County
2016,15OCT2016,36,89,3.83979285714285,St. Lawrence County
2016,16OCT2016,36,89,7.19412142857142,St. Lawrence County
2016,17OCT2016,36,89,6.15930357142857,St. Lawrence County
2016,18OCT2016,36,89,7.67836428571428,St. Lawrence County
2016,19OCT2016,36,89,4.43136071428571,St. Lawrence County
2016,20OCT2016,36,89,4.1543,St. Lawrence County
2016,21OCT2016,36,89,1.02677678571428,St. Lawrence County
2016,22OCT2016,36,89,1.40274821428571,St. Lawrence County
2016,23OCT2016,36,89,2.42256428571428,St. Lawrence County
2016,24OCT2016,36,89,2.60976785714285,St. Lawrence County
2016,25OCT2016,36,89,3.09973571428571,St. Lawrence County
2016,26OCT2016,36,89,2.45886785714285,St. Lawrence County
2016,27OCT2016,36,89,2.72116785714285,St. Lawrence County
2016,28OCT2016,36,89,3.28146785714285,St. Lawrence County
2016,29OCT2016,36,89,6.44505,St. Lawrence County
2016,30OCT2016,36,89,3.24281428571428,St. Lawrence County
2016,31OCT2016,36,89,3.46038928571428,St. Lawrence County
2016,01NOV2016,36,89,5.42559285714285,St. Lawrence County
2016,02NOV2016,36,89,12.1097857142857,St. Lawrence County
2016,03NOV2016,36,89,10.3913607142857,St. Lawrence County
2016,04NOV2016,36,89,3.02122142857142,St. Lawrence County
2016,05NOV2016,36,89,6.71631785714285,St. Lawrence County
2016,06NOV2016,36,89,3.69163214285714,St. Lawrence County
2016,07NOV2016,36,89,5.031425,St. Lawrence County
2016,08NOV2016,36,89,6.23783571428571,St. Lawrence County
2016,09NOV2016,36,89,5.83115,St. Lawrence County
2016,10NOV2016,36,89,4.75701785714285,St. Lawrence County
2016,11NOV2016,36,89,2.691825,St. Lawrence County
2016,12NOV2016,36,89,3.568525,St. Lawrence County
2016,13NOV2016,36,89,6.99589642857143,St. Lawrence County
2016,14NOV2016,36,89,7.83676428571428,St. Lawrence County
2016,15NOV2016,36,89,12.9134607142857,St. Lawrence County
2016,16NOV2016,36,89,13.6375285714285,St. Lawrence County
2016,17NOV2016,36,89,10.3114107142857,St. Lawrence County
2016,18NOV2016,36,89,7.75681428571428,St. Lawrence County
2016,19NOV2016,36,89,10.2564464285714,St. Lawrence County
2016,20NOV2016,36,89,2.173725,St. Lawrence County
