year,date,statefips,countyfips,averagepm2.5,County
2016,14APR2016,36,47,7.5307425,Kings County
2016,15APR2016,36,47,6.93597144736842,Kings County
2016,16APR2016,36,47,6.74671460526315,Kings County
2016,17APR2016,36,47,8.26994092105263,Kings County
2016,18APR2016,36,47,9.98149618421052,Kings County
2016,19APR2016,36,47,7.60789236842105,Kings County
2016,20APR2016,36,47,4.15246776315789,Kings County
2016,21APR2016,36,47,8.05931210526316,Kings County
2016,22APR2016,36,47,17.8367534210526,Kings County
2016,23APR2016,36,47,8.59194131578947,Kings County
2016,24APR2016,36,47,5.10370986842105,Kings County
2016,25APR2016,36,47,9.69596907894736,Kings County
2016,26APR2016,36,47,15.4125744736842,Kings County
2016,27APR2016,36,47,6.03289052631579,Kings County
2016,28APR2016,36,47,6.96385592105263,Kings County
2016,29APR2016,36,47,5.78160328947368,Kings County
2016,30APR2016,36,47,5.23071736842105,Kings County
2016,01MAY2016,36,47,3.89472447368421,Kings County
2016,02MAY2016,36,47,10.1034042105263,Kings County
2016,03MAY2016,36,47,6.49494565789473,Kings County
2016,04MAY2016,36,47,4.89116763157894,Kings County
2016,05MAY2016,36,47,2.73268065789473,Kings County
2016,06MAY2016,36,47,4.0618475,Kings County
2016,07MAY2016,36,47,5.32651118421052,Kings County
2016,08MAY2016,36,47,6.17749105263158,Kings County
2016,09MAY2016,36,47,9.95587421052631,Kings County
2016,10MAY2016,36,47,5.57250289473684,Kings County
2016,11MAY2016,36,47,10.7985521052631,Kings County
2016,12MAY2016,36,47,15.0106913157894,Kings County
2016,13MAY2016,36,47,17.8128355263157,Kings County
2016,14MAY2016,36,47,9.11666289473684,Kings County
2016,15MAY2016,36,47,2.80184815789473,Kings County
2016,16MAY2016,36,47,4.93268026315789,Kings County
2016,17MAY2016,36,47,8.11348171052631,Kings County
2016,18MAY2016,36,47,5.99928697368421,Kings County
2016,19MAY2016,36,47,9.35109026315789,Kings County
2016,20MAY2016,36,47,7.70614355263158,Kings County
2016,21MAY2016,36,47,7.03830407894737,Kings County
2016,22MAY2016,36,47,7.38485986842105,Kings County
2016,23MAY2016,36,47,11.0907552631578,Kings County
2016,24MAY2016,36,47,9.58249013157894,Kings County
2016,25MAY2016,36,47,17.9767921052631,Kings County
2016,26MAY2016,36,47,21.1235711842105,Kings County
2016,27MAY2016,36,47,18.5734471052631,Kings County
2016,28MAY2016,36,47,15.3283935526315,Kings County
2016,29MAY2016,36,47,7.62558986842105,Kings County
2016,30MAY2016,36,47,5.95083,Kings County
2016,31MAY2016,36,47,10.3285694736842,Kings County
2016,01JUN2016,36,47,11.5716005263157,Kings County
2016,02JUN2016,36,47,7.78402513157894,Kings County
2016,03JUN2016,36,47,7.68838947368421,Kings County
2016,04JUN2016,36,47,12.3497361842105,Kings County
2016,05JUN2016,36,47,5.36707434210526,Kings County
2016,06JUN2016,36,47,8.59581894736842,Kings County
2016,07JUN2016,36,47,9.48827,Kings County
2016,08JUN2016,36,47,4.47864618421052,Kings County
2016,09JUN2016,36,47,3.86030315789473,Kings County
2016,10JUN2016,36,47,5.00352157894736,Kings County
2016,11JUN2016,36,47,13.5778156578947,Kings County
2016,12JUN2016,36,47,10.5916622368421,Kings County
2016,13JUN2016,36,47,4.39582131578947,Kings County
2016,14JUN2016,36,47,4.76562671052631,Kings County
2016,15JUN2016,36,47,8.66629855263158,Kings County
2016,16JUN2016,36,47,16.3711305263157,Kings County
2016,17JUN2016,36,47,10.0525639473684,Kings County
2016,18JUN2016,36,47,8.92454131578947,Kings County
2016,19JUN2016,36,47,9.82309802631579,Kings County
2016,20JUN2016,36,47,9.86759184210526,Kings County
2016,21JUN2016,36,47,11.6063742105263,Kings County
2016,22JUN2016,36,47,9.27547697368421,Kings County
2016,23JUN2016,36,47,14.7028772368421,Kings County
2016,24JUN2016,36,47,15.1768767105263,Kings County
2016,25JUN2016,36,47,9.90669789473684,Kings County
2016,26JUN2016,36,47,9.75452657894737,Kings County
2016,27JUN2016,36,47,9.69167605263158,Kings County
2016,28JUN2016,36,47,7.17735789473684,Kings County
2016,29JUN2016,36,47,8.53649,Kings County
2016,30JUN2016,36,47,7.59667486842105,Kings County
2016,01JUL2016,36,47,9.18512605263158,Kings County
2016,02JUL2016,36,47,6.47014171052631,Kings County
2016,03JUL2016,36,47,9.68176447368421,Kings County
2016,04JUL2016,36,47,13.3683014473684,Kings County
2016,05JUL2016,36,47,6.49863736842105,Kings County
2016,06JUL2016,36,47,12.8279827631578,Kings County
2016,07JUL2016,36,47,17.4815155263157,Kings County
2016,08JUL2016,36,47,13.1763855263157,Kings County
2016,09JUL2016,36,47,5.48794684210526,Kings County
2016,10JUL2016,36,47,3.95016868421052,Kings County
2016,11JUL2016,36,47,3.97082776315789,Kings County
2016,12JUL2016,36,47,5.68047684210526,Kings County
2016,13JUL2016,36,47,6.56999171052631,Kings County
2016,14JUL2016,36,47,11.480237368421,Kings County
2016,15JUL2016,36,47,15.2979152631578,Kings County
2016,16JUL2016,36,47,11.9308443421052,Kings County
2016,17JUL2016,36,47,11.2033664473684,Kings County
2016,18JUL2016,36,47,13.3183163157894,Kings County
2016,19JUL2016,36,47,8.07616092105263,Kings County
2016,20JUL2016,36,47,6.73007868421052,Kings County
2016,21JUL2016,36,47,10.777907368421,Kings County
